id,tool_id,tool_name,category,description,total_quantity,available_quantity,unit_price,created_at
243,null,"Light with accesssories","General","Light with accesssories",10,10,"0.00","2026-07-02T04:46:53.429Z"
244,null,"Indusπ","General","Indusπ",10,10,"0.00","2026-07-02T04:46:53.435Z"
245,null,"USB IR Camera","General","USB IR Camera",10,10,"0.00","2026-07-02T04:46:53.442Z"
246,null,"display","General","display",10,10,"0.00","2026-07-02T04:46:53.449Z"
247,null,"Indus Pi Case Only","General","Indus Pi Case Only",10,10,"0.00","2026-07-02T04:46:53.454Z"
248,null,"COFE 4G/5G Router","General","COFE 4G/5G Router",10,10,"0.00","2026-07-02T04:46:53.462Z"
249,null,"COFE Power Adapter","General","COFE Power Adapter",10,10,"0.00","2026-07-02T04:46:53.468Z"
250,null,"Power cable","General","Power cable",10,10,"0.00","2026-07-02T04:46:53.474Z"
251,null,"USB to micro usb cable","General","USB to micro usb cable",10,10,"0.00","2026-07-02T04:46:53.480Z"
252,null,"Io kit","General","Io kit",10,10,"0.00","2026-07-02T04:46:53.487Z"
253,null,"Foam","General","Foam",10,10,"0.00","2026-07-02T04:46:53.493Z"
254,null,"Micro USB cable","General","Micro USB cable",10,10,"0.00","2026-07-02T04:46:53.499Z"
255,null,"Ultrasonic sensor mounting disc","General","Ultrasonic sensor mounting disc",10,10,"0.00","2026-07-02T04:46:53.511Z"
256,null,"4-20mA Coverter","General","4-20mA Coverter",10,10,"0.00","2026-07-02T04:46:53.517Z"
257,null,"4-20mA Signal Generator","General","4-20mA Signal Generator",10,10,"0.00","2026-07-02T04:46:53.523Z"
258,null,"Ultrasonic Sensor","General","Ultrasonic Sensor",10,10,"0.00","2026-07-02T04:46:53.529Z"
259,null,"RGB SMD LED","General","RGB SMD LED",10,10,"0.00","2026-07-02T04:46:53.535Z"
260,null,"AI edge device","General","AI edge device",10,10,"0.00","2026-07-02T04:46:53.542Z"
261,null,"Angle bar 2 length","General","Angle bar 2 length",10,10,"0.00","2026-07-02T04:46:53.547Z"
262,null,"Ms bolts","General","Ms bolts",10,10,"0.00","2026-07-02T04:46:53.555Z"
263,null,"230V Power Cable","General","230V Power Cable",10,10,"0.00","2026-07-02T04:46:53.563Z"
264,null,"ESDT STATUS BOARD","General","ESDT STATUS BOARD",10,10,"0.00","2026-07-02T04:46:53.570Z"
265,null,"CONTROL PANEL-SMALL WITH ACCESSORIES - Sheetmetal Panel - SMPS 12V DC - Accessories - wire - Internal Wiring - HDMI to DP Converter - PoE Adapter - Ethernet Switch","General","CONTROL PANEL-SMALL WITH ACCESSORIES - Sheetmetal Panel - SMPS 12V DC - Accessories - wire - Internal Wiring - HDMI to DP Converter - PoE Adapter - Ethernet Switch",10,10,"0.00","2026-07-02T04:46:53.578Z"
266,null,"Hexa Blade","General","Hexa Blade",10,10,"0.00","2026-07-02T04:46:53.585Z"
267,null,"9V Battery","General","9V Battery",10,10,"0.00","2026-07-02T04:46:53.595Z"
268,null,"BRQP400-DDTA-P","General","BRQP400-DDTA-P",10,10,"0.00","2026-07-02T04:46:53.602Z"
269,null,"ASSY_REPAIRS_AMS1 MASTER CONTROL UNIT HSN Code: 8501.52.10","General","ASSY_REPAIRS_AMS1 MASTER CONTROL UNIT HSN Code: 8501.52.10",10,10,"0.00","2026-07-02T04:46:53.610Z"
270,null,"Isolated USB to RS-485 convertor","General","Isolated USB to RS-485 convertor",10,10,"0.00","2026-07-02T04:46:53.616Z"
271,null,"USB Serial Cable","General","USB Serial Cable",10,10,"0.00","2026-07-02T04:46:53.622Z"
272,null,"pvc camera stand","General","pvc camera stand",10,10,"0.00","2026-07-02T04:46:53.628Z"
273,null,"mallet","General","mallet",10,10,"0.00","2026-07-02T04:46:53.634Z"
274,null,"acrylic sheet","General","acrylic sheet",10,10,"0.00","2026-07-02T04:46:53.641Z"
275,null,"IR Camera","General","IR Camera",10,10,"0.00","2026-07-02T04:46:53.648Z"
276,null,"Buzzer with Accessories","General","Buzzer with Accessories",10,10,"0.00","2026-07-02T04:46:53.662Z"
277,null,"Mini IPC","General","Mini IPC",10,10,"0.00","2026-07-02T04:46:53.669Z"
278,null,"Temperature Sensor and Humidity sensor","General","Temperature Sensor and Humidity sensor",10,10,"0.00","2026-07-02T04:46:53.675Z"
279,null,"Drilling machine kit","General","Drilling machine kit",10,10,"0.00","2026-07-02T04:46:53.681Z"
280,null,"Chisel","General","Chisel",10,10,"0.00","2026-07-02T04:46:53.687Z"
281,null,"HMI Display","General","HMI Display",10,10,"0.00","2026-07-02T04:46:53.693Z"
283,null,"Improver with IO Card","General","Improver with IO Card",10,10,"0.00","2026-07-02T04:46:53.709Z"
284,null,"POE Switch","General","POE Switch",10,10,"0.00","2026-07-02T04:46:53.715Z"
285,null,"LED Bulb","General","LED Bulb",10,10,"0.00","2026-07-02T04:46:53.721Z"
286,null,"ABS Case","General","ABS Case",10,10,"0.00","2026-07-02T04:46:53.727Z"
287,null,"Measurement Tape","General","Measurement Tape",10,10,"0.00","2026-07-02T04:46:53.734Z"
288,null,"Zebra Printer with power adapter and power cable","General","Zebra Printer with power adapter and power cable",10,10,"0.00","2026-07-02T04:46:53.741Z"
289,null,"Usb B type","General","Usb B type",10,10,"0.00","2026-07-02T04:46:53.748Z"
290,null,"Plastic panel","General","Plastic panel",10,10,"0.00","2026-07-02T04:46:53.756Z"
291,null,"GPIO KIt","General","GPIO KIt",10,10,"0.00","2026-07-02T04:46:53.762Z"
292,null,"Plastic panel with IndusPI","General","Plastic panel with IndusPI",10,10,"0.00","2026-07-02T04:46:53.769Z"
293,null,"INDUS-R6","General","INDUS-R6",10,10,"0.00","2026-07-02T04:46:53.777Z"
294,null,"lamp 24V assembled","General","lamp 24V assembled",10,10,"0.00","2026-07-02T04:46:53.783Z"
295,null,"Button with Lamp 24V","General","Button with Lamp 24V",10,10,"0.00","2026-07-02T04:46:53.789Z"
296,null,"Hammer drill machine","General","Hammer drill machine",10,10,"0.00","2026-07-02T04:46:53.795Z"
297,null,"Hammer drill bit 10mm","General","Hammer drill bit 10mm",10,10,"0.00","2026-07-02T04:46:53.800Z"
298,null,"Hammer","General","Hammer",10,10,"0.00","2026-07-02T04:46:53.806Z"
299,null,"Welding machine","General","Welding machine",10,10,"0.00","2026-07-02T04:46:53.819Z"
300,null,"Welding cable","General","Welding cable",10,10,"0.00","2026-07-02T04:46:53.826Z"
301,null,"Earthing cable","General","Earthing cable",10,10,"0.00","2026-07-02T04:46:53.831Z"
302,null,"Electric rods","General","Electric rods",10,10,"0.00","2026-07-02T04:46:53.838Z"
303,null,"Plum bob","General","Plum bob",10,10,"0.00","2026-07-02T04:46:53.844Z"
304,null,"Spirit level","General","Spirit level",10,10,"0.00","2026-07-02T04:46:53.849Z"
305,null,"Cutting player","General","Cutting player",10,10,"0.00","2026-07-02T04:46:53.856Z"
306,null,"Cleaning brush","General","Cleaning brush",10,10,"0.00","2026-07-02T04:46:53.862Z"
307,null,"Dust shield","General","Dust shield",10,10,"0.00","2026-07-02T04:46:53.867Z"
308,null,"Anchor bolts 100×10","General","Anchor bolts 100×10",10,10,"0.00","2026-07-02T04:46:53.875Z"
309,null,"Industrial Plug","General","Industrial Plug",10,10,"0.00","2026-07-02T04:46:53.881Z"
310,null,"Cable Tag","General","Cable Tag",10,10,"0.00","2026-07-02T04:46:53.887Z"
311,null,"Display with accessories","General","Display with accessories",10,10,"0.00","2026-07-02T04:46:53.894Z"
312,null,"HDMI flexible Cable","General","HDMI flexible Cable",10,10,"0.00","2026-07-02T04:46:53.900Z"
313,null,"HDMI Connector","General","HDMI Connector",10,10,"0.00","2026-07-02T04:46:53.907Z"
314,null,"Raceways with cover GI without perforation, Size 100 x 40 mm ht, 1.0 mm 2.5 mtr x 80 Numbers","General","Raceways with cover GI without perforation, Size 100 x 40 mm ht, 1.0 mm 2.5 mtr x 80 Numbers",10,10,"0.00","2026-07-02T04:46:53.912Z"
315,null,"Coupler Plates - GI (4 Holes)","General","Coupler Plates - GI (4 Holes)",10,10,"0.00","2026-07-02T04:46:53.919Z"
316,null,"Bolt, Nut & Washers - Plated (1 Bolt + 1 Nut, 2 washers)","General","Bolt, Nut & Washers - Plated (1 Bolt + 1 Nut, 2 washers)",10,10,"0.00","2026-07-02T04:46:53.926Z"
317,null,"Teflon Tape","General","Teflon Tape",10,10,"0.00","2026-07-02T04:46:53.933Z"
318,null,"Digital Pressure Sensor/Switch","General","Digital Pressure Sensor/Switch",10,10,"0.00","2026-07-02T04:46:53.940Z"
319,null,"Voltage to RS 485 converter","General","Voltage to RS 485 converter",10,10,"0.00","2026-07-02T04:46:53.946Z"
320,null,"Allen screws M4×20 = 14 Qty M5×15 = 75 Qty M6×60 = 50 Qty M5×60 = 2  Qty M6 lock nut 50 Qty ","General","Allen screws M4×20 = 14 Qty M5×15 = 75 Qty M6×60 = 50 Qty M5×60 = 2  Qty M6 lock nut 50 Qty ",10,10,"0.00","2026-07-02T04:46:53.953Z"
322,null,"Stands","General","Stands",10,10,"0.00","2026-07-02T04:46:53.965Z"
323,null,"RFID sensor brackets","General","RFID sensor brackets",10,10,"0.00","2026-07-02T04:46:53.971Z"
324,null,"I/O Link master mounting brackets","General","I/O Link master mounting brackets",10,10,"0.00","2026-07-02T04:46:53.977Z"
325,null,"Trolley pin sensor bracket","General","Trolley pin sensor bracket",10,10,"0.00","2026-07-02T04:46:53.984Z"
326,null,"Roller sensor brackets","General","Roller sensor brackets",10,10,"0.00","2026-07-02T04:46:53.991Z"
327,null,"Black conduit","General","Black conduit",10,10,"0.00","2026-07-02T04:46:53.997Z"
328,null,"Glands","General","Glands",10,10,"0.00","2026-07-02T04:46:54.003Z"
329,null,"USB C to Ethernet","General","USB C to Ethernet",10,10,"0.00","2026-07-02T04:46:54.011Z"
330,null,"ASSY_REPAIRS_AMS1 48502 TRANSMITTER 0100 / 1559 HSN Code: 85015210","General","ASSY_REPAIRS_AMS1 48502 TRANSMITTER 0100 / 1559 HSN Code: 85015210",10,10,"0.00","2026-07-02T04:46:54.016Z"
331,null,"ASSY_REPAIRS_AMS1 IMAGE PROCESSING DEVICE 0100 / 1559 HSN Code: 85015210","General","ASSY_REPAIRS_AMS1 IMAGE PROCESSING DEVICE 0100 / 1559 HSN Code: 85015210",10,10,"0.00","2026-07-02T04:46:54.022Z"
332,null,"ASSY_REPAIRS_AMS1 USB RS422/485 ADAPTER SET 0100 / 1559 HSN Code: 85015210","General","ASSY_REPAIRS_AMS1 USB RS422/485 ADAPTER SET 0100 / 1559 HSN Code: 85015210",10,10,"0.00","2026-07-02T04:46:54.028Z"
333,null,"ISE20A-T-01-J DIGITAL PRESURE SENSOR  , -0.1 TO 1MPa","General","ISE20A-T-01-J DIGITAL PRESURE SENSOR  , -0.1 TO 1MPa",10,10,"0.00","2026-07-02T04:46:54.033Z"
334,null,"Laser cut machine monitoring system","General","Laser cut machine monitoring system",10,10,"0.00","2026-07-02T04:46:54.041Z"
198,null,"1/4 \"Clamp","General","1/4 \"Clamp",10,9,"0.00","2026-07-02T04:46:53.154Z"
1,null,"LG3399 Multifunction meter","General","LG3399 Multifunction meter",2,2,"0.00","2026-07-02T04:46:51.907Z"
282,null,"12v DC Fan","General","12v DC Fan",10,10,"0.00","2026-07-02T04:46:53.702Z"
4,null,"Tool Kit","General","Tool Kit",10,3,"200.00","2026-07-02T04:46:51.941Z"
321,null,"100 x 100 acralic sheet","General","100 x 100 acralic sheet",10,4,"0.00","2026-07-02T04:46:53.959Z"
